tubelet_id,video_id,track_id,start_time_sec,end_time_sec,pose_score,pose_score_smooth,pose_hit_raw,pose_hit_smooth,pose_persistent_hit,pose_valid_frame_ratio,pose_mean_keypoint_conf,pose_valid_keypoint_ratio_mean,pose_wrist_speed_p95,pose_ankle_speed_p95,pose_limb_speed_p95,pose_limb_accel_p95,pose_body_angle_change_p95,pose_crouch_change_p95,pose_arm_extension_change_p95,pose_asymmetry_motion_p95
pose__20260315_130536_tp00036.mp4__track2792__t18036_18105__00007198,20260315_130536_tp00036.mp4,2792,1262.4937984676883,1267.3236982289584,72.60266080762756,16.954686200372795,True,False,False,1.0,0.7779658436775208,0.7132353186607361,0.7344282269477844,0.8719614148139954,0.7587805390357971,3.81388521194458,0.5353062748908997,0.16048656404018402,0.6938563585281372,0.21196390688419342
pose__20260315_130536_tp00036.mp4__track4004__t25110_25179__00007737,20260315_130536_tp00036.mp4,4004,1757.6635218187876,1762.4934215800577,72.28059281578732,64.8697526877658,True,True,True,1.0,0.7519394755363464,0.6397058963775635,4.8802289962768555,0.6532505750656128,4.799322128295898,23.51036834716797,0.42931368947029114,0.24440054595470428,0.8152918815612793,2.986043930053711
pose__20260316_113834_tp00042.mp4__track7335__t38232_38301__00013861,20260316_113834_tp00042.mp4,7335,2676.214163729768,2681.04411710122,72.27669661220078,44.444220884898044,True,False,False,1.0,0.7292923927307129,0.47549018263816833,1.131832480430603,0.0,0.9807577729225159,3.8974668979644775,0.0,0.0,0.8422086238861084,1.5110571384429932
pose__20260316_113834_tp00042.mp4__track1753__t9558_9627__00011749,20260316_113834_tp00042.mp4,1753,669.0535409324419,673.8834943038939,72.20111892652447,48.287744353486374,True,False,False,0.875,0.7441350221633911,0.40441176295280457,0.9788193106651306,0.0,1.2068676948547363,8.942336082458496,1.4645386934280396,0.07068410515785217,1.676149606704712,0.212393656373024
pose__20260315_130536_tp00036.mp4__track4004__t24966_25035__00007734,20260315_130536_tp00036.mp4,4004,1747.5837310126583,1752.4136307739286,72.02888329795097,71.8621341963447,True,True,True,1.0,0.7287178635597229,0.5833333134651184,4.376763820648193,0.0,4.5451436042785645,21.591623306274414,0.5044509768486023,0.2570358216762543,0.4433356821537018,0.28776830434799194
pose__20260316_113834_tp00042.mp4__track7335__t38178_38247__00013854,20260316_113834_tp00042.mp4,7335,2672.434200221675,2677.264153593127,71.9631160353848,68.02725487260687,True,True,False,1.0,0.7299623489379883,0.4436274468898773,1.043234944343567,0.0,0.8686974048614502,1.6633410453796387,0.0,0.0,0.4515227973461151,1.381574273109436
pose__20260315_130536_tp00036.mp4__track6961__t43218_43287__00008458,20260315_130536_tp00036.mp4,6961,3025.1972156895404,3030.0271154508105,71.87162748686087,49.90784031631997,True,False,False,1.0,0.7268909811973572,0.5759803652763367,0.6108535528182983,0.0,0.6376166939735413,3.5626370906829834,1.460171103477478,0.14731235802173615,0.4411616027355194,0.35692551732063293
pose__20260315_130536_tp00036.mp4__track1198__t7254_7323__00006191,20260315_130536_tp00036.mp4,1198,507.7694618587609,512.5993616200311,71.10137040230518,26.444761005706308,True,False,False,1.0,0.7558363676071167,0.468137264251709,1.1778830289840698,0.0,0.814258337020874,3.7068018913269043,2.025923490524292,0.014125928282737732,0.8915227055549622,0.4157355725765228
pose__20260315_104219_tp00035.mp4__track1379__t15264_15333__00004121,20260315_104219_tp00035.mp4,1379,1068.4806306477917,1073.3106334985976,69.89926270971873,54.791326979254166,True,False,False,1.0,0.8175612092018127,0.4362744987010956,0.8218722939491272,0.0,0.8679988980293274,2.0264341831207275,1.514146327972412,0.03755137324333191,0.12322565913200378,0.7517083287239075
pose__20260317_101644_tp00048.mp4__track1249__t41400_41469__00020407,20260317_101644_tp00048.mp4,1249,2897.987586297242,2902.817565607738,69.79047277700656,40.60905449929006,True,False,False,1.0,0.8567147254943848,0.43382352590560913,1.0538408756256104,0.0,0.9223272204399109,5.41594934463501,1.185487151145935,0.03663405776023865,0.9095287322998047,0.7233006954193115
